epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0785,1.2161,2.0709,5.12729,0.99989,0.55556,0.11364,0.33218,0.16548,0.26667,0.05455,0.14165,0.03284,1.54549,9.00302,5.17186,1.42212,0.0688205,0.00164103,0.00164103
2,73.6435,1.25966,1.86804,3.87955,0.99823,0.23379,0.34545,0.1744,0.07945,0.22091,0.25,0.14942,0.05991,1.43046,3.58894,9.80025,1.16182,0.0371531,0.00330696,0.00330696
3,107.344,1.30838,1.7669,3.94004,1.00041,0.32258,0.40909,0.31576,0.15966,0.38104,0.33182,0.29667,0.13476,1.52858,3.00614,4.90634,1.318,0.00548276,0.00496994,0.00496994
4,143.48,1.26096,1.66564,3.68917,0.99783,0.45946,0.38636,0.4137,0.21319,0.43784,0.36818,0.40094,0.21794,1.38038,2.02234,4.04797,1.08672,0.00499001,0.00499001,0.00499001
5,186.46,1.25057,1.62242,3.52452,0.96499,0.29801,0.20455,0.21568,0.11294,0.30464,0.20909,0.22041,0.12415,1.46819,2.05696,6.15598,1.14616,0.00498226,0.00498226,0.00498226
6,229.923,1.17595,1.59686,3.386,0.94871,0.63199,0.48182,0.55649,0.3057,0.65002,0.44745,0.53316,0.31226,1.20568,1.65924,3.64937,0.95185,0.0049723,0.0049723,0.0049723
7,269.263,1.162,1.56102,3.19682,0.9185,0.52808,0.49091,0.50805,0.28294,0.47826,0.55,0.51992,0.26572,1.2601,1.73203,3.67642,0.98172,0.00496015,0.00496015,0.00496015
8,311.406,1.12546,1.52486,3.09148,0.90344,0.63222,0.58182,0.60186,0.34823,0.64872,0.54545,0.58458,0.31652,1.20377,1.60664,3.62704,0.96242,0.00494581,0.00494581,0.00494581
9,352.827,1.09227,1.47556,3.07252,0.87742,0.61272,0.44091,0.50331,0.29343,0.61896,0.47255,0.51596,0.32363,1.20822,1.53683,3.88274,0.92714,0.00492931,0.00492931,0.00492931
10,393.753,1.04382,1.42638,2.86323,0.87334,0.65223,0.55411,0.59354,0.35154,0.65707,0.52727,0.58156,0.3006,1.14104,1.68808,3.38783,0.9308,0.00491066,0.00491066,0.00491066
11,432.329,1.04708,1.43088,2.77924,0.85684,0.66251,0.53636,0.60666,0.34458,0.63854,0.54545,0.62258,0.34482,1.23566,1.73607,3.2182,0.95504,0.00488988,0.00488988,0.00488988
12,469.167,1.03833,1.45333,2.74455,0.84957,0.66304,0.55455,0.60159,0.38517,0.64674,0.54091,0.58937,0.35593,1.10209,1.56241,3.21353,0.88479,0.00486698,0.00486698,0.00486698
13,511.51,1.03849,1.41414,2.69778,0.82649,0.52796,0.60455,0.55083,0.33724,0.51856,0.57273,0.54156,0.29708,1.12565,1.54173,3.46609,0.90972,0.004842,0.004842,0.004842
14,547.157,1.00197,1.39875,2.6269,0.82854,0.67021,0.51818,0.58788,0.38079,0.71307,0.53093,0.61246,0.36599,1.04246,1.45985,3.24629,0.88197,0.00481495,0.00481495,0.00481495
