epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.498,1.75531,2.86778,2.94101,1.54185,0.60227,0.46364,0.54578,0.38567,0.6069,0.47727,0.54543,0.33464,1.07492,1.80033,1.75143,1.01678,0.0701554,0.00331606,0.00331606
2,208.939,1.27658,2.08954,1.70377,1.13677,0.71171,0.57229,0.59846,0.41037,0.71736,0.57684,0.60511,0.37355,1.22409,1.84429,1.79561,1.06977,0.0401116,0.00660551,0.00660551
3,360.828,1.27985,2.06286,1.61507,1.13601,0.66377,0.55909,0.58981,0.38248,0.65983,0.54091,0.56896,0.3679,1.35092,1.86025,1.90886,1.03476,0.0100237,0.00985096,0.00985096
4,561.1,1.36101,2.11118,1.97302,1.11752,0.66981,0.64546,0.64639,0.42706,0.67602,0.64545,0.65918,0.41296,1.28401,1.82077,1.43406,1.10633,0.009802,0.009802,0.009802
5,701.337,1.41022,2.10317,1.62324,1.16611,0.60559,0.60455,0.60005,0.3681,0.59648,0.59545,0.58486,0.33452,1.24192,1.90673,1.70549,1.08309,0.009736,0.009736,0.009736
6,801.749,1.41377,2.12478,1.52863,1.19527,0.70654,0.56818,0.64523,0.42125,0.7274,0.57727,0.64972,0.37789,1.23268,1.80239,1.42529,1.1063,0.00967,0.00967,0.00967
7,921.428,1.41252,2.1739,1.47521,1.18245,0.69219,0.64396,0.67791,0.43395,0.70826,0.64005,0.68201,0.39651,1.2769,1.91975,1.34273,1.10535,0.009604,0.009604,0.009604
8,1052.75,1.38356,2.09207,1.3776,1.18382,0.63019,0.65455,0.64264,0.42127,0.61499,0.64545,0.64184,0.36658,1.25368,1.76504,1.34185,1.1054,0.009538,0.009538,0.009538
9,1185.5,1.43115,2.09402,1.45308,1.20915,0.67034,0.57273,0.63518,0.4157,0.66502,0.56818,0.63048,0.37894,1.24325,1.84361,1.39983,1.11285,0.009472,0.009472,0.009472
10,1325.61,1.38952,2.08958,1.36264,1.17241,0.75787,0.61177,0.70214,0.466,0.76368,0.61694,0.69525,0.43256,1.25617,1.85847,1.24014,1.09627,0.009406,0.009406,0.009406
11,1444.77,1.36329,1.98202,1.32845,1.18175,0.64653,0.61818,0.63622,0.41364,0.58778,0.64545,0.63661,0.37499,1.28502,1.91982,1.34238,1.14105,0.00934,0.00934,0.00934
12,1624.84,1.36656,1.96915,1.36341,1.17507,0.657,0.64545,0.68142,0.44595,0.64557,0.65,0.65648,0.39689,1.27405,1.93527,1.24892,1.13553,0.009274,0.009274,0.009274
13,1781.04,1.33243,1.98618,1.29425,1.16084,0.69309,0.64545,0.66653,0.43638,0.70031,0.65,0.67418,0.40479,1.21914,1.71568,1.30842,1.11324,0.009208,0.009208,0.009208
14,1895.48,1.3533,1.94563,1.29224,1.16673,0.72328,0.63636,0.67077,0.44521,0.71118,0.64091,0.67878,0.41175,1.21907,1.78447,1.31885,1.09848,0.009142,0.009142,0.009142
15,2011.71,1.36264,2.00228,1.34099,1.1521,0.73216,0.64545,0.69498,0.46648,0.70472,0.66818,0.69546,0.43318,1.23789,1.86469,1.26431,1.12311,0.009076,0.009076,0.009076
16,2146.84,1.3335,1.96299,1.24902,1.15869,0.7523,0.62124,0.68504,0.45461,0.73473,0.63182,0.68515,0.40016,1.21366,1.83666,1.26467,1.11588,0.00901,0.00901,0.00901
17,2315.18,1.30535,1.91854,1.2717,1.154,0.71215,0.64091,0.70062,0.45826,0.69223,0.63385,0.68955,0.40904,1.25548,1.77218,1.24005,1.10688,0.008944,0.008944,0.008944
18,2434.87,1.32496,1.90481,1.23255,1.15916,0.74736,0.68636,0.73635,0.49535,0.74681,0.68636,0.72529,0.43216,1.17891,1.79546,1.1729,1.07864,0.008878,0.008878,0.008878
19,2544.18,1.29346,1.91788,1.16892,1.13248,0.72519,0.72727,0.73326,0.49615,0.72402,0.72727,0.73554,0.43174,1.18623,1.76042,1.10538,1.06997,0.008812,0.008812,0.008812
20,2675.32,1.25739,1.82851,1.18681,1.11619,0.73766,0.60071,0.68724,0.45881,0.72479,0.6,0.67592,0.41557,1.28478,1.92073,1.26843,1.14851,0.008746,0.008746,0.008746
21,2835.29,1.23716,1.84673,1.10697,1.10638,0.63033,0.71364,0.69786,0.47365,0.62765,0.68193,0.69347,0.41681,1.22006,1.73496,1.2328,1.10224,0.00868,0.00868,0.00868
22,2937.28,1.21344,1.7608,1.11348,1.10221,0.75592,0.67727,0.73196,0.48748,0.75014,0.67273,0.72706,0.44747,1.19834,1.69982,1.21861,1.09011,0.008614,0.008614,0.008614
23,3040.53,1.24559,1.79229,1.08443,1.11605,0.66465,0.68636,0.7286,0.50389,0.69628,0.68182,0.73104,0.44391,1.14114,1.73009,1.16276,1.06951,0.008548,0.008548,0.008548
24,3150.87,1.23516,1.80864,1.09821,1.0998,0.72085,0.71364,0.70681,0.50081,0.72505,0.71818,0.70746,0.42624,1.1123,1.6429,1.20523,1.03921,0.008482,0.008482,0.008482
25,3264.04,1.17585,1.81277,1.06202,1.07924,0.78528,0.69819,0.76023,0.52293,0.73527,0.72273,0.76098,0.46911,1.17034,1.73474,1.11202,1.06072,0.008416,0.008416,0.008416
26,3394.25,1.23106,1.75023,1.08129,1.11492,0.77206,0.65,0.71022,0.50134,0.73981,0.68636,0.70117,0.4352,1.1131,1.7001,1.17226,1.06173,0.00835,0.00835,0.00835
27,3519.5,1.17269,1.75478,1.02552,1.0586,0.76844,0.69091,0.75263,0.52147,0.7735,0.69545,0.75071,0.45996,1.14707,1.70605,1.11246,1.07539,0.008284,0.008284,0.008284
28,3648.03,1.20416,1.76963,1.07011,1.10428,0.77339,0.68636,0.7564,0.51249,0.77916,0.70563,0.7515,0.45904,1.15042,1.65299,1.116,1.07772,0.008218,0.008218,0.008218
29,3757.33,1.16847,1.71371,1.0414,1.08956,0.74982,0.70841,0.74544,0.51166,0.73993,0.69836,0.73501,0.45058,1.14933,1.70864,1.05575,1.08139,0.008152,0.008152,0.008152
30,3890.06,1.16788,1.76047,1.05152,1.09364,0.76915,0.66639,0.73499,0.52619,0.75227,0.69091,0.73737,0.45619,1.07388,1.69737,1.09189,1.05418,0.008086,0.008086,0.008086
31,4016.57,1.18121,1.79216,1.03803,1.08007,0.73455,0.73182,0.7522,0.50745,0.73911,0.73636,0.75164,0.46617,1.15447,1.68796,1.14561,1.09346,0.00802,0.00802,0.00802
32,4135.36,1.14491,1.61821,0.9649,1.06633,0.78717,0.70455,0.76529,0.5392,0.79224,0.70909,0.76894,0.45874,1.13118,1.67123,1.07076,1.07522,0.007954,0.007954,0.007954
33,4264.53,1.17923,1.69449,1.04337,1.07659,0.77212,0.72273,0.75421,0.51929,0.74439,0.72804,0.75173,0.45718,1.12569,1.74388,1.07306,1.06015,0.007888,0.007888,0.007888
34,4372.18,1.14858,1.62721,0.96181,1.05485,0.75701,0.72273,0.74623,0.52603,0.77038,0.73199,0.75211,0.46515,1.13195,1.65103,1.09505,1.06023,0.007822,0.007822,0.007822
35,4483.27,1.1194,1.5836,0.94745,1.04086,0.73735,0.77273,0.77836,0.54745,0.77286,0.74237,0.78686,0.48224,1.13641,1.67217,1.03708,1.06733,0.007756,0.007756,0.007756
36,4617.2,1.10714,1.59968,0.96411,1.04715,0.74415,0.75455,0.76086,0.51975,0.72251,0.74091,0.73864,0.44916,1.13458,1.64333,1.03155,1.08052,0.00769,0.00769,0.00769
37,4731.35,1.12025,1.65784,0.95759,1.07928,0.72238,0.72148,0.72013,0.47932,0.69315,0.73182,0.69715,0.39026,1.1803,1.73202,1.11721,1.10075,0.007624,0.007624,0.007624
38,4831.76,1.09158,1.59839,0.95422,1.04855,0.72859,0.73182,0.72346,0.51716,0.72137,0.73636,0.73125,0.44657,1.113,1.714,1.10221,1.05826,0.007558,0.007558,0.007558
39,4932.14,1.11006,1.56486,0.97065,1.06717,0.72456,0.76524,0.75139,0.53782,0.72456,0.76524,0.75673,0.47201,1.09813,1.62697,1.10411,1.0637,0.007492,0.007492,0.007492
40,5033.03,1.08378,1.5339,0.92,1.04983,0.79004,0.73548,0.74345,0.52923,0.79484,0.73964,0.74815,0.46366,1.12907,1.68385,1.04462,1.07981,0.007426,0.007426,0.007426
41,5134.02,1.0693,1.55737,0.92774,1.04549,0.80119,0.70455,0.76514,0.53835,0.7921,0.73636,0.76519,0.47794,1.13116,1.61153,1.04056,1.07555,0.00736,0.00736,0.00736
42,5248.12,1.09768,1.59282,0.93636,1.05937,0.78939,0.75455,0.75423,0.5142,0.78587,0.75,0.75282,0.43992,1.14689,1.69229,1.02876,1.09782,0.007294,0.007294,0.007294
43,5386.28,1.05883,1.54045,0.87149,1.0421,0.79576,0.70455,0.75757,0.54045,0.7788,0.7,0.74629,0.45774,1.05367,1.67253,1.03719,1.05357,0.007228,0.007228,0.007228
44,5506.8,1.07021,1.50593,0.86832,1.02688,0.79263,0.73182,0.76321,0.55147,0.76386,0.7499,0.76354,0.48086,1.07935,1.62816,1.08359,1.06301,0.007162,0.007162,0.007162
45,5621.3,1.05749,1.5729,0.89424,1.03925,0.78907,0.73117,0.7687,0.54299,0.77926,0.72208,0.77682,0.46228,1.09354,1.62282,1.01533,1.04594,0.007096,0.007096,0.007096
46,5746.23,1.05437,1.44827,0.86051,1.01691,0.78798,0.74091,0.77042,0.54522,0.78892,0.74091,0.76942,0.47414,1.09333,1.6249,1.01962,1.05648,0.00703,0.00703,0.00703
