epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2175,1.94598,3.20023,4.03916,1.58649,0.33333,0.00455,0.16742,0.11719,0.33333,0.00455,0.16742,0.13394,1.36243,2.24582,3.11923,1.10556,0.0703093,0.00329897,0.00329897
2,93.606,1.55255,2.49293,2.36653,1.22073,0.54483,0.35909,0.45741,0.29809,0.53793,0.35455,0.45563,0.26237,1.38696,2.3328,2.23063,1.13391,0.0402436,0.00656664,0.00656664
3,146.597,1.5346,2.4516,2.0978,1.19252,0.585,0.53182,0.55809,0.3653,0.585,0.53182,0.55685,0.36271,1.58637,2.15814,2.01992,1.22215,0.010112,0.00976832,0.00976832
4,187.907,1.56896,2.42247,2.02677,1.24012,0.50219,0.58182,0.53343,0.3064,0.52546,0.53182,0.53022,0.31073,1.52677,2.22274,2.27804,1.18958,0.009703,0.009703,0.009703
5,233.959,1.58646,2.33023,1.90038,1.24025,0.58714,0.52273,0.54597,0.33747,0.56729,0.51818,0.54268,0.34145,1.45845,2.07824,1.89927,1.2033,0.009604,0.009604,0.009604
6,282.462,1.56595,2.31114,1.83463,1.24769,0.62646,0.60909,0.6259,0.37593,0.63335,0.58103,0.6202,0.36053,1.45266,2.17725,1.77547,1.18288,0.009505,0.009505,0.009505
7,328.369,1.52476,2.24588,1.73616,1.21834,0.73913,0.38636,0.52079,0.32601,0.73043,0.38182,0.51773,0.30634,1.53568,2.1491,1.8955,1.2381,0.009406,0.009406,0.009406
8,376.351,1.59233,2.27123,1.74169,1.25493,0.62224,0.5915,0.56833,0.35104,0.66022,0.59176,0.57519,0.33972,1.44113,1.99733,1.8164,1.17925,0.009307,0.009307,0.009307
9,422.094,1.53512,2.30138,1.67605,1.23703,0.80488,0.3,0.54909,0.37919,0.80488,0.3,0.54938,0.35619,1.41011,2.10085,1.79122,1.15993,0.009208,0.009208,0.009208
10,478.972,1.54145,2.21258,1.58735,1.21744,0.69005,0.63636,0.66538,0.42505,0.68702,0.60455,0.64801,0.39262,1.38112,2.01583,1.54915,1.13809,0.009109,0.009109,0.009109
11,525.454,1.49173,2.22383,1.53871,1.18864,0.63537,0.62573,0.6529,0.40467,0.63015,0.61958,0.64587,0.37269,1.33708,1.93708,1.60265,1.12903,0.00901,0.00901,0.00901
12,567.148,1.46021,2.11878,1.53627,1.1846,0.725,0.52727,0.6261,0.42727,0.73125,0.53182,0.62963,0.41385,1.36908,2.01245,1.45569,1.11192,0.008911,0.008911,0.008911
13,610.449,1.45389,2.10477,1.48966,1.181,0.76245,0.57273,0.66314,0.44931,0.76653,0.57727,0.67441,0.43001,1.39217,2.04641,1.42548,1.1478,0.008812,0.008812,0.008812
14,657.464,1.43156,2.11115,1.44847,1.17719,0.67839,0.54652,0.61519,0.43392,0.68484,0.56301,0.62485,0.40996,1.3711,2.05312,1.4886,1.13965,0.008713,0.008713,0.008713
