epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.0684,1.87665,3.1018,3.67795,1.56298,0.63529,0.49091,0.56454,0.42305,0.64118,0.49545,0.57053,0.38685,1.28223,2.01113,1.70109,1.08517,0.0702326,0.00330749,0.00330749
2,118.515,1.38529,2.26451,1.72906,1.15656,0.71534,0.60455,0.68814,0.50884,0.71682,0.60455,0.69008,0.45156,1.16336,1.8313,1.36679,1.08406,0.0401778,0.00658604,0.00658604
3,172.476,1.38951,2.18423,1.89009,1.14866,0.54903,0.63636,0.58273,0.38181,0.56225,0.65,0.61602,0.36437,1.33801,1.8837,1.57801,1.06824,0.010068,0.00980959,0.00980959
4,227.513,1.48458,2.26672,1.90385,1.18505,0.67936,0.50909,0.59985,0.40878,0.69722,0.52727,0.60993,0.41219,1.5343,2.01271,1.65716,1.17216,0.0097525,0.0097525,0.0097525
5,281.54,1.47606,2.26399,1.57003,1.199,0.48861,0.45,0.44928,0.29179,0.49355,0.45455,0.4518,0.25825,1.49477,2.29266,1.93916,1.21739,0.00967,0.00967,0.00967
6,336.31,1.48921,2.18986,1.66054,1.2053,0.62535,0.47273,0.51635,0.2981,0.60464,0.48661,0.51614,0.26848,1.5221,2.27039,1.93068,1.25355,0.0095875,0.0095875,0.0095875
7,390.831,1.44727,2.13731,1.47834,1.19027,0.60684,0.64545,0.65693,0.43626,0.5993,0.61818,0.64152,0.39875,1.36282,2.09069,1.42875,1.18478,0.009505,0.009505,0.009505
8,445.402,1.46726,2.19429,1.45969,1.20593,0.73518,0.5931,0.67915,0.44132,0.72933,0.58791,0.66336,0.4093,1.38941,2.1752,1.51244,1.14989,0.0094225,0.0094225,0.0094225
9,499.758,1.48037,2.23791,1.53909,1.21291,0.67446,0.62156,0.64142,0.45467,0.68036,0.61364,0.64418,0.418,1.29569,1.92276,1.37807,1.11498,0.00934,0.00934,0.00934
10,553.648,1.42656,2.04397,1.42005,1.19444,0.68992,0.61364,0.66399,0.46016,0.70249,0.62273,0.67476,0.43147,1.31671,1.80029,1.3951,1.11176,0.0092575,0.0092575,0.0092575
11,607.598,1.40043,2.07223,1.38025,1.18975,0.67382,0.62273,0.64516,0.44879,0.66698,0.62273,0.6521,0.4157,1.31272,1.99238,1.36414,1.11662,0.009175,0.009175,0.009175
12,662.53,1.41588,2.06056,1.37613,1.16911,0.6711,0.63182,0.66971,0.47358,0.67773,0.65,0.68227,0.43486,1.3146,1.89717,1.3668,1.13168,0.0090925,0.0090925,0.0090925
13,717.078,1.36427,2.00091,1.33523,1.15601,0.7229,0.65909,0.71868,0.50133,0.70393,0.66364,0.71687,0.43413,1.25603,1.88158,1.2943,1.0976,0.00901,0.00901,0.00901
14,770.64,1.34102,1.99658,1.26755,1.1459,0.72198,0.63636,0.70777,0.49021,0.73229,0.64545,0.70581,0.45375,1.27924,1.8352,1.34213,1.12256,0.0089275,0.0089275,0.0089275
15,825.19,1.37732,2.02627,1.30729,1.17211,0.71282,0.63182,0.68967,0.47013,0.70769,0.62727,0.6859,0.43469,1.27706,1.84662,1.35318,1.11088,0.008845,0.008845,0.008845
16,879.285,1.34469,1.95457,1.21099,1.1383,0.74958,0.69389,0.73927,0.5198,0.78526,0.67727,0.74328,0.46002,1.29784,1.91407,1.16936,1.12393,0.0087625,0.0087625,0.0087625
17,933.494,1.34663,1.95178,1.25447,1.14383,0.70977,0.71364,0.73227,0.50455,0.72522,0.70909,0.72619,0.45571,1.23135,1.77451,1.23075,1.09818,0.00868,0.00868,0.00868
18,988.082,1.31977,1.94143,1.2161,1.12464,0.78015,0.66818,0.75675,0.52415,0.78126,0.66818,0.75964,0.46182,1.23037,1.81792,1.20073,1.07738,0.0085975,0.0085975,0.0085975
19,1043.89,1.26494,1.89815,1.14537,1.10433,0.71685,0.71818,0.76304,0.53198,0.72512,0.73145,0.75917,0.46943,1.20849,1.83266,1.17344,1.07656,0.008515,0.008515,0.008515
20,1100.25,1.3128,1.88044,1.17024,1.12483,0.72203,0.67298,0.7177,0.50196,0.72231,0.68575,0.71666,0.45911,1.21356,1.83117,1.22464,1.0795,0.0084325,0.0084325,0.0084325
21,1156.79,1.29202,1.92795,1.21012,1.12911,0.73071,0.64138,0.70389,0.50332,0.73071,0.64138,0.70588,0.45282,1.2415,1.76991,1.21734,1.08624,0.00835,0.00835,0.00835
22,1211.84,1.23747,1.82601,1.10195,1.0905,0.74583,0.68026,0.73274,0.51897,0.74085,0.67571,0.72661,0.46037,1.21659,1.78941,1.17605,1.08209,0.0082675,0.0082675,0.0082675
23,1268.63,1.30083,1.89298,1.18111,1.10973,0.69646,0.74049,0.72849,0.50374,0.7047,0.74848,0.73903,0.46777,1.19407,1.7693,1.16509,1.06458,0.008185,0.008185,0.008185
24,1325.52,1.23117,1.74656,1.0856,1.08426,0.7243,0.70455,0.74121,0.5248,0.71028,0.69091,0.72243,0.47053,1.195,1.70354,1.18781,1.06725,0.0081025,0.0081025,0.0081025
25,1381.7,1.23836,1.8318,1.10839,1.09166,0.77337,0.69091,0.74257,0.5346,0.76675,0.68735,0.74675,0.49652,1.17844,1.72418,1.16493,1.05777,0.00802,0.00802,0.00802
26,1438.29,1.21208,1.76132,1.06846,1.06941,0.75466,0.71308,0.74832,0.53488,0.74469,0.70909,0.74291,0.47737,1.17419,1.75743,1.14087,1.05554,0.0079375,0.0079375,0.0079375
27,1492.13,1.24057,1.84051,1.07526,1.10132,0.76756,0.71818,0.73611,0.50735,0.75991,0.71364,0.7263,0.44464,1.17342,1.78816,1.14238,1.08541,0.007855,0.007855,0.007855
28,1546.7,1.21371,1.75825,1.07265,1.07226,0.80099,0.64091,0.74847,0.54694,0.79469,0.63636,0.74172,0.4868,1.17596,1.84196,1.13676,1.06254,0.0077725,0.0077725,0.0077725
29,1600.9,1.25094,1.81714,1.08247,1.08757,0.73464,0.70469,0.73991,0.54759,0.7362,0.71037,0.74894,0.5066,1.15731,1.69049,1.14782,1.0686,0.00769,0.00769,0.00769
30,1655.59,1.17253,1.77588,1.02954,1.05132,0.82006,0.67273,0.77526,0.56255,0.80898,0.66364,0.76686,0.51205,1.17792,1.72577,1.10075,1.06435,0.0076075,0.0076075,0.0076075
31,1711.49,1.19819,1.72356,1.05144,1.07575,0.74695,0.7111,0.75253,0.55117,0.75622,0.72273,0.75607,0.49655,1.1276,1.69804,1.11864,1.03373,0.007525,0.007525,0.007525
32,1765.8,1.17543,1.68824,1.01139,1.0517,0.73321,0.67459,0.71396,0.5018,0.733,0.68636,0.72751,0.46182,1.20603,1.69304,1.24037,1.06831,0.0074425,0.0074425,0.0074425
33,1821.55,1.18062,1.74478,1.01166,1.06449,0.73969,0.71364,0.74535,0.54444,0.72369,0.72622,0.73864,0.48584,1.2075,1.79342,1.06128,1.1006,0.00736,0.00736,0.00736
34,1877.36,1.16152,1.67126,0.96672,1.06547,0.78089,0.729,0.76615,0.55393,0.78461,0.70455,0.75602,0.49181,1.15478,1.7226,1.05664,1.07628,0.0072775,0.0072775,0.0072775
35,1932.41,1.14324,1.67345,0.95516,1.04936,0.70107,0.73556,0.73494,0.52608,0.70107,0.73556,0.75057,0.47777,1.20343,1.79513,1.12433,1.08791,0.007195,0.007195,0.007195
36,1987.47,1.17132,1.69839,1.0274,1.07613,0.73706,0.75455,0.75658,0.52721,0.74746,0.71306,0.74577,0.48526,1.20678,1.66627,1.11347,1.09902,0.0071125,0.0071125,0.0071125
37,2043.88,1.14235,1.64989,0.9284,1.05148,0.7573,0.70916,0.73822,0.52776,0.75077,0.69832,0.73317,0.47246,1.20816,1.76752,1.05717,1.09231,0.00703,0.00703,0.00703
38,2098.92,1.16359,1.68251,0.98849,1.06236,0.79077,0.77307,0.79526,0.58346,0.78902,0.74796,0.79409,0.52767,1.17294,1.65758,1.04573,1.06437,0.0069475,0.0069475,0.0069475
39,2153.76,1.12208,1.60313,0.9304,1.05029,0.81766,0.72273,0.78175,0.57082,0.80737,0.71364,0.77491,0.51559,1.15018,1.7,1.08362,1.05818,0.006865,0.006865,0.006865
40,2208.32,1.11838,1.60345,0.92092,1.02757,0.75213,0.75909,0.77968,0.5691,0.75213,0.75909,0.78138,0.51433,1.15096,1.66733,1.05824,1.0801,0.0067825,0.0067825,0.0067825
41,2263.35,1.08869,1.59598,0.93299,1.01817,0.75517,0.72727,0.77444,0.58109,0.75006,0.72296,0.77075,0.52162,1.14081,1.64403,1.01031,1.06902,0.0067,0.0067,0.0067
42,2318.24,1.15224,1.65365,0.9415,1.06705,0.81231,0.7082,0.79307,0.58227,0.76825,0.70455,0.77446,0.51117,1.14187,1.67873,1.00976,1.05471,0.0066175,0.0066175,0.0066175
43,2374.24,1.09182,1.54962,0.87846,1.03268,0.78737,0.73636,0.7978,0.58043,0.78737,0.73636,0.79591,0.50925,1.10846,1.64062,0.98699,1.05224,0.006535,0.006535,0.006535
44,2430.79,1.08597,1.62149,0.86425,1.0167,0.82016,0.71364,0.80342,0.58749,0.80763,0.70455,0.79614,0.5274,1.12722,1.67203,1.03586,1.04878,0.0064525,0.0064525,0.0064525
45,2487.68,1.13985,1.63143,0.91213,1.04156,0.8027,0.72124,0.7601,0.5571,0.80626,0.71364,0.76183,0.49213,1.13516,1.84309,1.10911,1.04736,0.00637,0.00637,0.00637
46,2544.25,1.06402,1.54522,0.88817,1.01851,0.7724,0.74045,0.77962,0.56764,0.7662,0.72727,0.77057,0.50983,1.13631,1.76735,1.015,1.05325,0.0062875,0.0062875,0.0062875
47,2600.73,1.09505,1.61674,0.88047,1.03057,0.7367,0.80124,0.77787,0.5843,0.72432,0.78823,0.76884,0.51804,1.10012,1.67717,0.98145,1.06011,0.006205,0.006205,0.006205
48,2656.99,1.03737,1.52598,0.83207,1.00269,0.82189,0.69219,0.7738,0.58951,0.82189,0.69219,0.77399,0.53455,1.10844,1.69103,1.05189,1.05495,0.0061225,0.0061225,0.0061225
49,2712.86,1.06589,1.55231,0.88312,1.02957,0.78641,0.7,0.77479,0.58341,0.78641,0.7,0.78546,0.53476,1.09082,1.62319,1.02046,1.03522,0.00604,0.00604,0.00604
50,2768.64,1.0575,1.5358,0.86023,1.01039,0.75304,0.74845,0.7929,0.59142,0.73274,0.74091,0.7868,0.51844,1.11383,1.71996,1.00705,1.04118,0.0059575,0.0059575,0.0059575
