epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.198,1.59254,2.6669,2.47845,1.43429,0.75158,0.5725,0.6799,0.48442,0.77749,0.585,0.68967,0.42341,1.05436,1.81861,1.26272,1.01559,0.0701149,0.00332056,0.00332056
2,365.458,1.22366,1.95177,1.51098,1.1184,0.63959,0.6175,0.66332,0.44259,0.63032,0.6075,0.63699,0.36476,1.05349,1.66745,1.48428,1.01456,0.0400491,0.00658802,0.00658802
3,521.123,1.20473,1.90322,1.35628,1.09836,0.66659,0.6975,0.69664,0.46993,0.66659,0.6975,0.69423,0.43701,1.12533,1.70512,1.16246,1.02115,0.0099172,0.00978948,0.00978948
4,659.236,1.3662,2.1381,1.70112,1.16494,0.67002,0.6375,0.67191,0.42421,0.69631,0.63054,0.67285,0.40251,1.2174,1.87246,1.45774,1.07394,0.009703,0.009703,0.009703
5,808.58,1.38711,2.07868,1.53834,1.17888,0.76283,0.6375,0.69493,0.44509,0.7718,0.645,0.70845,0.4045,1.23355,1.84865,1.28479,1.09031,0.009604,0.009604,0.009604
6,1002.56,1.37944,1.9909,1.39669,1.1531,0.6976,0.655,0.69903,0.44283,0.7051,0.66349,0.71001,0.37742,1.268,1.7776,1.25549,1.09832,0.009505,0.009505,0.009505
7,1140.02,1.38567,2.03213,1.39902,1.18055,0.74918,0.7075,0.75168,0.49401,0.74489,0.71536,0.75062,0.44517,1.16746,1.74644,1.15101,1.06082,0.009406,0.009406,0.009406
8,1278.33,1.36945,2.04504,1.31441,1.17294,0.76915,0.6575,0.73128,0.48216,0.73116,0.6975,0.7319,0.43984,1.19431,1.7332,1.12793,1.08173,0.009307,0.009307,0.009307
9,1415.39,1.35486,2.03813,1.33939,1.1866,0.75595,0.705,0.7565,0.49931,0.74951,0.7,0.75325,0.42982,1.16315,1.65488,1.12073,1.06899,0.009208,0.009208,0.009208
10,1554.98,1.32984,1.91538,1.28106,1.16596,0.79516,0.70843,0.76751,0.52482,0.79796,0.71093,0.76852,0.48546,1.14567,1.60977,1.06778,1.05668,0.009109,0.009109,0.009109
11,1695.42,1.32497,1.98007,1.33646,1.16553,0.78839,0.78241,0.80822,0.55093,0.79602,0.78,0.81162,0.50588,1.12663,1.63443,1.07009,1.05139,0.00901,0.00901,0.00901
12,1861.44,1.31276,1.95033,1.25322,1.15254,0.76196,0.7875,0.80061,0.55958,0.76022,0.78468,0.79536,0.48651,1.09163,1.62923,1.0372,1.04235,0.008911,0.008911,0.008911
13,2016.17,1.30259,1.86861,1.25028,1.14242,0.75847,0.7375,0.7633,0.53188,0.7559,0.735,0.76321,0.47383,1.11061,1.63142,1.07288,1.04312,0.008812,0.008812,0.008812
14,2174.67,1.28764,1.89594,1.17735,1.13521,0.80354,0.74644,0.78468,0.55321,0.78969,0.745,0.78815,0.49715,1.09997,1.585,0.98419,1.03616,0.008713,0.008713,0.008713
