epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.6543,1.73134,2.91939,3.28508,1.47255,0.74026,0.4275,0.57193,0.43362,0.7619,0.44,0.59135,0.36733,1.17144,1.91054,1.60547,1.09417,0.0701724,0.00331418,0.00331418
2,154.113,1.3011,2.11821,1.56078,1.11879,0.68792,0.5125,0.61384,0.45443,0.69463,0.5175,0.62518,0.42823,1.28808,1.8262,1.54492,1.09088,0.0401066,0.0065817,0.0065817
3,226.33,1.32451,1.96829,1.614,1.11446,0.60128,0.62,0.62433,0.43149,0.6067,0.6275,0.63201,0.40039,1.31131,1.90794,1.59594,1.11407,0.00997479,0.00978322,0.00978322
4,298.611,1.46445,2.11208,1.7222,1.18053,0.68573,0.6375,0.67332,0.43176,0.71508,0.6575,0.70578,0.42133,1.43715,2.08986,1.52177,1.22601,0.009703,0.009703,0.009703
5,371.916,1.44393,2.16215,1.53527,1.19314,0.68899,0.5875,0.66343,0.43164,0.69043,0.585,0.65527,0.37777,1.34853,1.99392,1.43442,1.16751,0.009604,0.009604,0.009604
6,444.037,1.44234,2.16779,1.47681,1.18314,0.70981,0.625,0.66353,0.4306,0.71163,0.63,0.665,0.39752,1.35381,2.07274,1.75182,1.18567,0.009505,0.009505,0.009505
7,515.696,1.42109,2.09551,1.38127,1.16834,0.66586,0.645,0.66192,0.45668,0.66057,0.65,0.66374,0.42032,1.34193,1.87557,1.54295,1.14019,0.009406,0.009406,0.009406
8,587.883,1.44118,2.0557,1.35602,1.20449,0.75322,0.6575,0.75863,0.50743,0.72986,0.68222,0.76511,0.47494,1.24966,1.7669,1.34123,1.10528,0.009307,0.009307,0.009307
9,659.91,1.39011,2.07064,1.35238,1.16011,0.74311,0.6475,0.71809,0.50132,0.73588,0.635,0.71114,0.43302,1.32826,1.95278,1.32192,1.17532,0.009208,0.009208,0.009208
10,732.113,1.36994,2.02314,1.28818,1.16269,0.73773,0.7125,0.76838,0.54706,0.73899,0.7125,0.77359,0.51318,1.29051,1.76991,1.22127,1.17092,0.009109,0.009109,0.009109
11,803.698,1.33142,1.95429,1.25589,1.14544,0.74928,0.6725,0.71758,0.49686,0.76031,0.682,0.73357,0.4911,1.31494,1.77358,1.24164,1.15106,0.00901,0.00901,0.00901
12,876.635,1.33139,1.87376,1.24405,1.14919,0.79271,0.71705,0.77475,0.55221,0.80177,0.71792,0.7839,0.51015,1.25499,1.75986,1.11626,1.1342,0.008911,0.008911,0.008911
13,948.278,1.32394,1.96835,1.23748,1.15987,0.70265,0.525,0.62272,0.44754,0.706,0.5275,0.62521,0.40552,1.40845,2.12738,1.5781,1.21673,0.008812,0.008812,0.008812
