epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1435,1.99107,3.23016,4.41525,1.61949,0,0,0,0,0,0,0,0,1.18476,2.07505,3.75849,1.08268,0.0704687,0.00328125,0.00328125
2,62.3697,1.50015,2.37782,2.64308,1.18612,1,0.06599,0.53298,0.36482,1,0.06599,0.53298,0.33134,1.29075,2.12213,2.68316,1.13603,0.0404033,0.0065491,0.0065491
3,84.5921,1.51446,2.23685,2.22222,1.20057,0.5332,0.53299,0.53886,0.36148,0.5501,0.54822,0.5545,0.36191,1.37402,2.00658,2.21838,1.18446,0.0102718,0.00975095,0.00975095
4,104.602,1.54988,2.35374,2.14946,1.2113,0.51659,0.5533,0.50143,0.33513,0.52133,0.55838,0.51502,0.32312,1.36492,1.94332,2.04103,1.13635,0.009703,0.009703,0.009703
5,124.88,1.54441,2.32723,1.98651,1.23002,0.55084,0.54822,0.54949,0.32948,0.53508,0.54315,0.54836,0.30296,1.33633,2.12602,3.38784,1.15594,0.009604,0.009604,0.009604
6,145.043,1.53542,2.22108,1.90846,1.19385,0.65634,0.50761,0.59971,0.36368,0.64978,0.50254,0.58677,0.34375,1.3671,2.06448,2.72834,1.18192,0.009505,0.009505,0.009505
7,165.27,1.49088,2.06057,1.70432,1.17577,0.60208,0.45178,0.53611,0.31504,0.59532,0.4467,0.53542,0.3483,1.58295,2.24109,2.05727,1.25543,0.009406,0.009406,0.009406
8,185.469,1.50845,2.07088,1.66762,1.21351,0.63652,0.60447,0.66006,0.40935,0.56031,0.6599,0.65309,0.39177,1.31991,2.05095,1.89225,1.14901,0.009307,0.009307,0.009307
9,205.437,1.46993,2.06806,1.6158,1.1869,0.77571,0.58376,0.704,0.47161,0.76493,0.57868,0.69223,0.45974,1.29132,1.86845,1.5561,1.16214,0.009208,0.009208,0.009208
10,225.694,1.50612,2.10772,1.60467,1.20188,0.76683,0.54315,0.67903,0.46808,0.79089,0.53757,0.67763,0.42342,1.23824,1.98194,1.46159,1.09505,0.009109,0.009109,0.009109
