epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.835,1.97762,4.71923,1.76071,0.2457,0.40102,0.22388,0.12416,1.70278,3.56865,1.35606,0.0702013,0.00331096,0.00331096
2,90.8779,1.53871,2.6973,1.26801,0.32663,0.43655,0.27048,0.13582,1.66244,3.32898,1.30917,0.0395436,0.00598651,0.00598651
3,123.878,1.61666,2.48256,1.2893,0.34853,0.46193,0.32523,0.14282,1.87776,3.55185,1.36622,0.00822577,0.00800206,0.00800206
4,156.292,1.65272,2.29441,1.33854,0.2518,0.41117,0.22241,0.10075,1.74719,2.75307,1.37964,0.00703,0.00703,0.00703
5,188.814,1.58328,2.25946,1.31713,0.37297,0.41117,0.29869,0.13377,1.87191,2.57439,1.42576,0.00604,0.00604,0.00604
6,221.684,1.63689,2.14399,1.33957,0.34027,0.48731,0.30009,0.15047,1.76057,3.13895,1.37325,0.00505,0.00505,0.00505
7,255.582,1.50914,2.09186,1.27668,0.40526,0.51538,0.37279,0.19443,1.62893,2.25387,1.31165,0.00406,0.00406,0.00406
8,289.934,1.50124,1.86131,1.25545,0.42209,0.51777,0.39233,0.21344,1.55495,2.31909,1.26135,0.00307,0.00307,0.00307
9,323.828,1.45726,1.74407,1.23197,0.38695,0.59898,0.35719,0.18506,1.53942,2.18312,1.22348,0.00208,0.00208,0.00208
10,356.667,1.37464,1.6923,1.19128,0.42577,0.58883,0.39244,0.21901,1.48591,2.07207,1.19993,0.00109,0.00109,0.00109
