epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7276,1.96383,3.14295,4.85782,1.61193,0,0,0,0,0,0,0,0,1.32903,2.32396,3.36588,1.07445,0.0703488,0.00329457,0.00329457
2,79.8086,1.41059,2.23689,2.60797,1.12811,0.6875,0.34021,0.51746,0.34474,0.70833,0.35052,0.53557,0.32514,1.5031,2.47088,2.40111,1.16124,0.0396927,0.00597174,0.00597174
3,105.013,1.41812,2.18494,2.14971,1.13855,0.59167,0.47423,0.53097,0.29553,0.5981,0.47938,0.53394,0.30531,1.55204,2.26619,2.26872,1.20549,0.00837651,0.00798891,0.00798891
4,133.566,1.44849,2.07422,2.02722,1.15661,0.49287,0.56108,0.51531,0.29691,0.52555,0.54124,0.52398,0.27534,1.47846,2.19522,2.30087,1.18723,0.00703,0.00703,0.00703
5,162,1.35576,2.01943,1.84729,1.1267,0.61202,0.57732,0.61572,0.38761,0.75586,0.52062,0.63081,0.38762,1.45533,2.06429,1.71211,1.19502,0.00604,0.00604,0.00604
6,188.124,1.36921,2.02008,1.73259,1.13738,0.59308,0.58247,0.60615,0.35728,0.59833,0.58763,0.62806,0.37537,1.49732,2.05102,1.74363,1.1842,0.00505,0.00505,0.00505
7,213.644,1.32734,1.84157,1.57545,1.09565,0.79403,0.55642,0.6951,0.45015,0.81764,0.5778,0.70899,0.44813,1.37267,1.8614,1.49016,1.11664,0.00406,0.00406,0.00406
8,240.675,1.26478,1.84699,1.47439,1.06998,0.6892,0.65464,0.71192,0.47359,0.71172,0.65979,0.72567,0.44056,1.33822,1.8575,1.51385,1.12948,0.00307,0.00307,0.00307
9,267.763,1.20455,1.74706,1.39484,1.04718,0.66884,0.6701,0.73391,0.48661,0.72987,0.64433,0.74319,0.47951,1.2784,1.76147,1.37408,1.06372,0.00208,0.00208,0.00208
10,294.445,1.16932,1.68839,1.29748,1.01913,0.80838,0.69588,0.7784,0.54041,0.80838,0.69588,0.77101,0.50146,1.19763,1.75417,1.30285,1.03765,0.00109,0.00109,0.00109
