epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.8779,1.84918,2.93668,5.61435,1.55052,0.29938,0.50761,0.28638,0.17471,0.31797,0.51118,0.31317,0.17306,1.38937,2.27428,2.43092,1.15489,0.0701345,0.00331839,0.00331839
2,167.688,1.34376,2.09026,2.28704,1.14484,0.28674,0.1066,0.19083,0.09504,0.30039,0.11168,0.19629,0.10299,1.49267,2.39479,2.97436,1.1193,0.039476,0.0059932,0.0059932
3,236.28,1.37873,2.13914,2.33698,1.15318,0.37092,0.52792,0.34106,0.17563,0.35615,0.51269,0.31642,0.1574,1.50056,2.11564,2.48622,1.13393,0.00815749,0.00800801,0.00800801
4,304.574,1.45106,2.10217,2.0666,1.17549,0.38769,0.47208,0.32705,0.19476,0.39603,0.48223,0.35019,0.20327,1.46477,2.05585,2.09587,1.15741,0.00703,0.00703,0.00703
5,372.435,1.42495,2.05127,1.86668,1.18482,0.39478,0.55838,0.37245,0.2019,0.40555,0.56853,0.37911,0.19401,1.46777,2.0676,1.99774,1.22121,0.00604,0.00604,0.00604
6,436.84,1.42504,1.95149,1.73253,1.18326,0.40364,0.5736,0.36449,0.23448,0.40722,0.57868,0.37248,0.23018,1.28254,2.00565,2.05056,1.11385,0.00505,0.00505,0.00505
7,500.523,1.36577,1.898,1.52628,1.13198,0.46663,0.61929,0.46209,0.2884,0.46866,0.6134,0.46651,0.27076,1.31848,1.91665,1.85492,1.12813,0.00406,0.00406,0.00406
8,564.098,1.25535,1.82705,1.47293,1.07295,0.4231,0.59391,0.43736,0.29586,0.43539,0.59499,0.43586,0.2723,1.23208,1.86939,1.90693,1.05797,0.00307,0.00307,0.00307
9,627.491,1.18235,1.73057,1.36852,1.04769,0.4385,0.61421,0.41045,0.28489,0.44355,0.62312,0.41809,0.26008,1.16663,1.71827,1.7649,1.05789,0.00208,0.00208,0.00208
10,689.626,1.15144,1.63563,1.32999,1.02829,0.42652,0.70558,0.42947,0.29989,0.43244,0.71939,0.43849,0.27991,1.11241,1.63632,1.59102,1.02368,0.00109,0.00109,0.00109
