epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.2153,1.67084,2.74574,2.84674,1.5095,0.65213,0.62887,0.64732,0.44171,0.64495,0.62371,0.65118,0.38167,1.02081,1.78134,1.42494,1.0064,0.0701754,0.00331384,0.00331384
2,182.442,1.16514,1.9283,1.61291,1.08082,0.6211,0.63918,0.70616,0.47944,0.61609,0.63402,0.69868,0.43019,1.07046,1.70593,1.47886,1.009,0.0401316,0.0066033,0.0066033
3,314.339,1.1497,1.78388,1.48288,1.06193,0.72081,0.6701,0.7362,0.45072,0.73907,0.66495,0.73971,0.38885,1.19788,1.84262,1.29958,1.08361,0.0100437,0.00984876,0.00984876
4,491.098,1.24588,1.84691,1.5359,1.09845,0.66777,0.65464,0.71699,0.42282,0.68073,0.65944,0.72163,0.39267,1.26959,1.78209,1.27272,1.07392,0.009802,0.009802,0.009802
5,653.437,1.25658,1.85935,1.31788,1.0905,0.67064,0.68222,0.7106,0.45781,0.74865,0.62887,0.71028,0.40906,1.20502,1.78721,1.28727,1.11567,0.009736,0.009736,0.009736
6,814.47,1.27154,1.9387,1.34081,1.10618,0.79316,0.71649,0.75496,0.45393,0.80556,0.68341,0.74675,0.42601,1.3029,1.78463,1.23528,1.15178,0.00967,0.00967,0.00967
7,925.91,1.3335,1.85298,1.37209,1.14213,0.62522,0.56701,0.64047,0.41353,0.61594,0.56214,0.63974,0.39147,1.22833,1.91767,1.38731,1.115,0.009604,0.009604,0.009604
8,1012.98,1.24956,1.83347,1.2957,1.07207,0.80048,0.65464,0.76214,0.50511,0.79418,0.64948,0.75482,0.44086,1.15019,1.75243,1.4612,1.05791,0.009538,0.009538,0.009538
9,1103,1.28067,1.79376,1.27435,1.11263,0.7523,0.68557,0.72989,0.47454,0.7523,0.68557,0.72789,0.42774,1.17574,1.73086,1.17524,1.10173,0.009472,0.009472,0.009472
10,1216.06,1.27071,1.80841,1.26625,1.11737,0.72756,0.75258,0.79619,0.52418,0.73214,0.74742,0.78664,0.4636,1.15364,1.75043,1.08611,1.07986,0.009406,0.009406,0.009406
11,1389.1,1.26822,1.78238,1.22762,1.11664,0.76639,0.75773,0.78496,0.50268,0.76814,0.75773,0.78073,0.47185,1.2032,1.72323,1.13117,1.08351,0.00934,0.00934,0.00934
12,1495.73,1.26922,1.73178,1.19478,1.10174,0.72502,0.78828,0.79129,0.5233,0.72976,0.79344,0.79688,0.48735,1.14049,1.68803,1.0981,1.06664,0.009274,0.009274,0.009274
13,1583.6,1.2233,1.73748,1.15852,1.09147,0.78281,0.73196,0.78608,0.51755,0.7773,0.7268,0.77296,0.46365,1.14868,1.76798,1.09437,1.06426,0.009208,0.009208,0.009208
14,1690.1,1.22835,1.75854,1.20628,1.09388,0.70937,0.69197,0.71605,0.46896,0.75264,0.64305,0.70469,0.41074,1.17192,1.84432,1.16478,1.06904,0.009142,0.009142,0.009142
15,1777.61,1.22689,1.72567,1.14073,1.09426,0.77359,0.69588,0.77129,0.49365,0.80161,0.69588,0.77992,0.46713,1.18417,1.74577,1.20787,1.07076,0.009076,0.009076,0.009076
16,1890.25,1.21428,1.74242,1.10052,1.09957,0.84471,0.64433,0.7671,0.5155,0.85506,0.63859,0.76589,0.45844,1.17302,1.79514,1.12209,1.10274,0.00901,0.00901,0.00901
17,2054.27,1.20337,1.70153,1.15108,1.08285,0.79372,0.74227,0.83698,0.56143,0.79923,0.74742,0.83367,0.49544,1.1629,1.70766,0.98279,1.08868,0.008944,0.008944,0.008944
18,2186.15,1.22225,1.7287,1.09551,1.0856,0.77081,0.74742,0.82539,0.55793,0.88096,0.66495,0.81896,0.49452,1.11097,1.71332,0.97497,1.06036,0.008878,0.008878,0.008878
19,2320.06,1.18498,1.67542,1.08177,1.06991,0.7939,0.73469,0.81135,0.54597,0.78383,0.72165,0.80151,0.4824,1.16885,1.65962,1.04664,1.04851,0.008812,0.008812,0.008812
20,2426.84,1.21895,1.65839,1.1043,1.08385,0.82687,0.71394,0.79547,0.51269,0.84127,0.70619,0.79162,0.47674,1.19427,1.74501,1.01759,1.12138,0.008746,0.008746,0.008746
21,2514.09,1.20697,1.65632,1.03811,1.07783,0.77417,0.76804,0.81708,0.54315,0.77349,0.76804,0.8222,0.49706,1.11365,1.62664,0.94977,1.06925,0.00868,0.00868,0.00868
22,2601.99,1.14277,1.62812,1.00404,1.04289,0.79843,0.77588,0.81716,0.54014,0.79866,0.76289,0.81092,0.49487,1.17237,1.78184,1.03008,1.08412,0.008614,0.008614,0.008614
23,2689.5,1.16777,1.6028,1.0083,1.07858,0.82604,0.70103,0.79043,0.53144,0.83211,0.70619,0.78193,0.48275,1.13146,1.76402,1.03768,1.06055,0.008548,0.008548,0.008548
24,2776.73,1.13955,1.55417,1.01984,1.06371,0.8168,0.79897,0.82145,0.56775,0.81122,0.79743,0.81147,0.50644,1.08617,1.67907,0.98423,1.05087,0.008482,0.008482,0.008482
25,2864.29,1.11527,1.58596,0.98774,1.03851,0.80317,0.71134,0.80966,0.55998,0.75423,0.74348,0.7992,0.48998,1.12563,1.71155,0.98783,1.05858,0.008416,0.008416,0.008416
26,2991.26,1.1533,1.57311,1.02743,1.06132,0.87672,0.76289,0.84998,0.57849,0.8566,0.7698,0.84823,0.52118,1.0747,1.66692,0.9334,1.0467,0.00835,0.00835,0.00835
27,3137.19,1.1467,1.65384,1.00008,1.05349,0.82621,0.76804,0.84966,0.57294,0.8495,0.75651,0.84514,0.51968,1.15959,1.64422,0.93616,1.08654,0.008284,0.008284,0.008284
28,3224.48,1.1439,1.62288,1.00133,1.06826,0.85942,0.78782,0.85485,0.57274,0.8592,0.78635,0.85118,0.51333,1.12386,1.59441,0.97763,1.07502,0.008218,0.008218,0.008218
29,3312.21,1.08793,1.49693,0.90865,1.0352,0.8955,0.75091,0.85679,0.57806,0.8955,0.75091,0.86181,0.52702,1.06659,1.61641,0.89522,1.05354,0.008152,0.008152,0.008152
30,3425.46,1.08252,1.51109,0.94601,1.02358,0.84655,0.76781,0.86437,0.59028,0.84106,0.76375,0.85116,0.53023,1.06758,1.56886,0.89353,1.04464,0.008086,0.008086,0.008086
31,3570.46,1.10466,1.53185,0.93052,1.03054,0.86763,0.80412,0.89066,0.60266,0.8803,0.7732,0.87277,0.52567,1.06659,1.57152,0.88549,1.04505,0.00802,0.00802,0.00802
32,3658.85,1.09331,1.55754,0.90676,1.02767,0.78249,0.81959,0.82583,0.5688,0.78277,0.81959,0.81753,0.51638,1.08061,1.6158,0.95127,1.04903,0.007954,0.007954,0.007954
33,3746.31,1.08658,1.47151,0.90844,1.02427,0.86338,0.75773,0.85325,0.57395,0.86338,0.75773,0.84356,0.4888,1.09705,1.70452,0.94273,1.04128,0.007888,0.007888,0.007888
34,3858.96,1.13343,1.50491,0.94539,1.03778,0.85424,0.78546,0.85301,0.56935,0.84864,0.7803,0.83759,0.51965,1.10028,1.63044,0.91569,1.03238,0.007822,0.007822,0.007822
35,4005.09,1.11307,1.53516,0.94128,1.04445,0.82965,0.80412,0.86062,0.60973,0.82539,0.79381,0.84859,0.54096,1.05794,1.57422,0.84686,1.03425,0.007756,0.007756,0.007756
36,4110.99,1.05344,1.49127,0.87771,1.00265,0.85497,0.75969,0.86493,0.60073,0.84977,0.75808,0.85813,0.53605,1.07959,1.64524,0.91366,1.01873,0.00769,0.00769,0.00769
37,4198.4,1.07045,1.53664,0.91119,1.02369,0.86215,0.77373,0.86252,0.60691,0.82662,0.79897,0.87199,0.52937,1.03795,1.61843,0.87601,1.02913,0.007624,0.007624,0.007624
38,4285.69,1.03105,1.39814,0.85223,1.00121,0.87954,0.75276,0.8469,0.59331,0.86607,0.76669,0.83701,0.52797,1.06799,1.5928,0.89054,1.02277,0.007558,0.007558,0.007558
