epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.587,1.9204,3.05076,3.91608,1.56362,0.65182,0.46392,0.58799,0.39224,0.63821,0.44845,0.57253,0.32961,1.14982,1.93497,1.54789,1.07291,0.0702632,0.00330409,0.00330409
2,95.126,1.30266,2.07932,1.74848,1.09974,0.56,0.64948,0.64091,0.43837,0.56444,0.65464,0.65134,0.39124,1.22071,1.88981,1.39356,1.05959,0.0402084,0.00658267,0.00658267
3,142.254,1.32489,1.95023,1.80732,1.0762,0.57392,0.60406,0.59713,0.38372,0.56322,0.60486,0.59732,0.36088,1.22287,1.93466,1.64557,1.03968,0.0100986,0.00980624,0.00980624
4,188.437,1.31996,1.97558,1.61468,1.10411,0.73217,0.6482,0.70553,0.46507,0.73713,0.64948,0.71682,0.43519,1.33389,2.01369,1.34999,1.11781,0.0097525,0.0097525,0.0097525
5,235.861,1.40861,2.07519,1.55886,1.13462,0.60526,0.59278,0.60133,0.41855,0.62632,0.6134,0.62192,0.39686,1.28563,2.01594,1.42876,1.06036,0.00967,0.00967,0.00967
6,284.007,1.36569,1.8816,1.5043,1.11403,0.73067,0.54124,0.64129,0.39307,0.73219,0.54124,0.63463,0.34503,1.27477,1.91399,1.66016,1.08296,0.0095875,0.0095875,0.0095875
7,329.488,1.38741,2.00021,1.46881,1.12834,0.65319,0.58251,0.64993,0.4195,0.65091,0.56706,0.64456,0.41614,1.38867,1.92261,1.40951,1.14296,0.009505,0.009505,0.009505
8,374.576,1.34256,1.95066,1.42119,1.12753,0.752,0.62371,0.70902,0.47904,0.74772,0.61856,0.70756,0.43392,1.255,1.98985,1.34407,1.12543,0.0094225,0.0094225,0.0094225
9,420.208,1.33415,1.87086,1.29471,1.12855,0.70977,0.63031,0.71086,0.48803,0.77138,0.59134,0.71248,0.4341,1.24474,1.8357,1.22779,1.11501,0.00934,0.00934,0.00934
10,465.544,1.30042,1.89951,1.30569,1.11074,0.7241,0.71649,0.76122,0.51044,0.72931,0.72165,0.76224,0.46881,1.2956,1.8539,1.17334,1.15092,0.0092575,0.0092575,0.0092575
