epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.1089,1.7342,2.92154,3.64409,1.43476,0.78571,0.1375,0.46266,0.3251,0.81429,0.1425,0.48222,0.32838,1.38082,2.08745,2.67956,1.13372,0.070229,0.00330789,0.00330789
2,112.034,1.48109,2.32689,2.09057,1.18328,0.62739,0.4925,0.53549,0.33158,0.6051,0.475,0.5112,0.29316,1.5181,2.48885,2.02743,1.17703,0.0401633,0.00657547,0.00657547
3,164.617,1.48265,2.30039,1.89126,1.18934,0.78495,0.1825,0.47792,0.31272,0.8172,0.19,0.50009,0.31762,1.46819,2.07409,2.2999,1.16471,0.0100315,0.00977706,0.00977706
4,227.366,1.53446,2.28219,1.84269,1.20853,0.6252,0.53379,0.59456,0.36099,0.63157,0.53997,0.59735,0.37198,1.51819,2.09299,1.89351,1.19694,0.009703,0.009703,0.009703
5,305.906,1.54716,2.3181,1.81145,1.2264,0.65642,0.5827,0.63514,0.4095,0.67895,0.6027,0.66034,0.41131,1.3522,1.91861,1.74118,1.1301,0.009604,0.009604,0.009604
6,382.041,1.57209,2.35725,1.75007,1.25016,0.58924,0.6025,0.60464,0.40801,0.65561,0.56635,0.62412,0.38743,1.40952,1.98757,1.61786,1.14827,0.009505,0.009505,0.009505
7,454.88,1.53178,2.19927,1.66537,1.20961,0.65424,0.5875,0.64626,0.42571,0.65162,0.5875,0.64777,0.39183,1.34123,2.01887,1.67748,1.13436,0.009406,0.009406,0.009406
8,522.099,1.50546,2.23697,1.6382,1.21773,0.66438,0.56911,0.64429,0.43889,0.66438,0.56911,0.65398,0.40352,1.29698,1.91601,1.73866,1.09439,0.009307,0.009307,0.009307
9,578.836,1.45596,2.14572,1.5449,1.19589,0.69468,0.595,0.62359,0.42443,0.70052,0.6,0.63495,0.40744,1.30221,1.853,1.4918,1.09352,0.009208,0.009208,0.009208
10,641.477,1.46097,2.0898,1.51945,1.18956,0.7555,0.7025,0.75274,0.50372,0.77535,0.70752,0.76088,0.49744,1.25443,1.74138,1.30758,1.07838,0.009109,0.009109,0.009109
11,701.305,1.42893,2.0659,1.41165,1.18446,0.74503,0.5625,0.65936,0.42967,0.75497,0.57,0.67051,0.42801,1.42441,1.92817,1.47902,1.16027,0.00901,0.00901,0.00901
